Date;Category;Product;Meta;Sales
2021-01-01;Furniture;Furnishings;65.75342465753425;664.746
2021-01-01;Furniture;Bookcases;98.63013698630137;
2021-01-01;Furniture;Chairs;164.3835616438356;310.744
2021-01-01;Furniture;Tables;141.36986301369862;
2021-01-01;Office Supplies;Appliances;82.1917808219178;15.224
2021-01-01;Office Supplies;Art;24.65753424657534;12.736
2021-01-01;Office Supplies;Binders;164.3835616438356;23.818
2021-01-01;Office Supplies;Envelopes;3.287671232876712;
2021-01-01;Office Supplies;Fasteners;1.643835616438356;
2021-01-01;Office Supplies;Labels;9.863013698630137;
2021-01-01;Office Supplies;Paper;57.534246575342465;
2021-01-01;Office Supplies;Storage;131.5068493150685;454.56
2021-01-01;Office Supplies;Supplies;32.87671232876713;
2021-01-01;Technology;Accessories;115.06849315068493;
2021-01-01;Technology;Copiers;139.72602739726028;
2021-01-01;Technology;Machines;82.1917808219178;
2021-01-01;Technology;Phones;328.7671232876712;
2021-01-02;Furniture;Furnishings;65.75342465753425;
2021-01-02;Furniture;Bookcases;98.63013698630137;
2021-01-02;Furniture;Chairs;164.3835616438356;
2021-01-02;Furniture;Tables;141.36986301369862;913.43
2021-01-02;Office Supplies;Appliances;82.1917808219178;5.432
2021-01-02;Office Supplies;Art;24.65753424657534;31.744
2021-01-02;Office Supplies;Binders;164.3835616438356;44.514
2021-01-02;Office Supplies;Envelopes;3.287671232876712;
2021-01-02;Office Supplies;Fasteners;1.643835616438356;
2021-01-02;Office Supplies;Labels;9.863013698630137;
2021-01-02;Office Supplies;Paper;57.534246575342465;
2021-01-02;Office Supplies;Storage;131.5068493150685;372.144
2021-01-02;Office Supplies;Supplies;32.87671232876713;
2021-01-02;Technology;Accessories;115.06849315068493;16.59
2021-01-02;Technology;Copiers;139.72602739726028;
2021-01-02;Technology;Machines;82.1917808219178;695.7
2021-01-02;Technology;Phones;328.7671232876712;
2021-01-03;Furniture;Furnishings;65.75342465753425;
2021-01-03;Furniture;Bookcases;98.63013698630137;
2021-01-03;Furniture;Chairs;164.3835616438356;
2021-01-03;Furniture;Tables;141.36986301369862;
2021-01-03;Office Supplies;Appliances;82.1917808219178;
2021-01-03;Office Supplies;Art;24.65753424657534;9.12
2021-01-03;Office Supplies;Binders;164.3835616438356;2022.272
2021-01-03;Office Supplies;Envelopes;3.287671232876712;
2021-01-03;Office Supplies;Fasteners;1.643835616438356;
2021-01-03;Office Supplies;Labels;9.863013698630137;
2021-01-03;Office Supplies;Paper;57.534246575342465;38.88
2021-01-03;Office Supplies;Storage;131.5068493150685;
2021-01-03;Office Supplies;Supplies;32.87671232876713;
2021-01-03;Technology;Accessories;115.06849315068493;
2021-01-03;Technology;Copiers;139.72602739726028;
2021-01-03;Technology;Machines;82.1917808219178;
2021-01-03;Technology;Phones;328.7671232876712;
2021-01-04;Furniture;Furnishings;65.75342465753425;
2021-01-04;Furniture;Bookcases;98.63013698630137;
2021-01-04;Furniture;Chairs;164.3835616438356;
2021-01-04;Furniture;Tables;141.36986301369862;
2021-01-04;Office Supplies;Appliances;82.1917808219178;
2021-01-04;Office Supplies;Art;24.65753424657534;
2021-01-04;Office Supplies;Binders;164.3835616438356;
2021-01-04;Office Supplies;Envelopes;3.287671232876712;
2021-01-04;Office Supplies;Fasteners;1.643835616438356;
2021-01-04;Office Supplies;Labels;9.863013698630137;
2021-01-04;Office Supplies;Paper;57.534246575342465;
2021-01-04;Office Supplies;Storage;131.5068493150685;
2021-01-04;Office Supplies;Supplies;32.87671232876713;
2021-01-04;Technology;Accessories;115.06849315068493;
2021-01-04;Technology;Copiers;139.72602739726028;
2021-01-04;Technology;Machines;82.1917808219178;
2021-01-04;Technology;Phones;328.7671232876712;
2021-01-05;Furniture;Furnishings;65.75342465753425;
2021-01-05;Furniture;Bookcases;98.63013698630137;
2021-01-05;Furniture;Chairs;164.3835616438356;
2021-01-05;Furniture;Tables;141.36986301369862;
2021-01-05;Office Supplies;Appliances;82.1917808219178;
2021-01-05;Office Supplies;Art;24.65753424657534;
2021-01-05;Office Supplies;Binders;164.3835616438356;
2021-01-05;Office Supplies;Envelopes;3.287671232876712;
2021-01-05;Office Supplies;Fasteners;1.643835616438356;
2021-01-05;Office Supplies;Labels;9.863013698630137;
2021-01-05;Office Supplies;Paper;57.534246575342465;
2021-01-05;Office Supplies;Storage;131.5068493150685;
2021-01-05;Office Supplies;Supplies;32.87671232876713;
2021-01-05;Technology;Accessories;115.06849315068493;
2021-01-05;Technology;Copiers;139.72602739726028;
2021-01-05;Technology;Machines;82.1917808219178;
2021-01-05;Technology;Phones;328.7671232876712;
2021-01-06;Furniture;Furnishings;65.75342465753425;
2021-01-06;Furniture;Bookcases;98.63013698630137;
2021-01-06;Furniture;Chairs;164.3835616438356;
2021-01-06;Furniture;Tables;141.36986301369862;
2021-01-06;Office Supplies;Appliances;82.1917808219178;
2021-01-06;Office Supplies;Art;24.65753424657534;
2021-01-06;Office Supplies;Binders;164.3835616438356;33.74
2021-01-06;Office Supplies;Envelopes;3.287671232876712;
2021-01-06;Office Supplies;Fasteners;1.643835616438356;
2021-01-06;Office Supplies;Labels;9.863013698630137;
2021-01-06;Office Supplies;Paper;57.534246575342465;
2021-01-06;Office Supplies;Storage;131.5068493150685;
2021-01-06;Office Supplies;Supplies;32.87671232876713;
2021-01-06;Technology;Accessories;115.06849315068493;
2021-01-06;Technology;Copiers;139.72602739726028;
2021-01-06;Technology;Machines;82.1917808219178;
2021-01-06;Technology;Phones;328.7671232876712;
2021-01-07;Furniture;Furnishings;65.75342465753425;
2021-01-07;Furniture;Bookcases;98.63013698630137;
2021-01-07;Furniture;Chairs;164.3835616438356;
2021-01-07;Furniture;Tables;141.36986301369862;
2021-01-07;Office Supplies;Appliances;82.1917808219178;
2021-01-07;Office Supplies;Art;24.65753424657534;
2021-01-07;Office Supplies;Binders;164.3835616438356;2.808
2021-01-07;Office Supplies;Envelopes;3.287671232876712;
2021-01-07;Office Supplies;Fasteners;1.643835616438356;7.89
2021-01-07;Office Supplies;Labels;9.863013698630137;
2021-01-07;Office Supplies;Paper;57.534246575342465;
2021-01-07;Office Supplies;Storage;131.5068493150685;214.8
2021-01-07;Office Supplies;Supplies;32.87671232876713;110.11
2021-01-07;Technology;Accessories;115.06849315068493;
2021-01-07;Technology;Copiers;139.72602739726028;
2021-01-07;Technology;Machines;82.1917808219178;3059.982
2021-01-07;Technology;Phones;328.7671232876712;
2021-01-08;Furniture;Furnishings;65.75342465753425;
2021-01-08;Furniture;Bookcases;98.63013698630137;
2021-01-08;Furniture;Chairs;164.3835616438356;
2021-01-08;Furniture;Tables;141.36986301369862;892.98
2021-01-08;Office Supplies;Appliances;82.1917808219178;
2021-01-08;Office Supplies;Art;24.65753424657534;
2021-01-08;Office Supplies;Binders;164.3835616438356;
2021-01-08;Office Supplies;Envelopes;3.287671232876712;
2021-01-08;Office Supplies;Fasteners;1.643835616438356;
2021-01-08;Office Supplies;Labels;9.863013698630137;
2021-01-08;Office Supplies;Paper;57.534246575342465;
2021-01-08;Office Supplies;Storage;131.5068493150685;
2021-01-08;Office Supplies;Supplies;32.87671232876713;
2021-01-08;Technology;Accessories;115.06849315068493;
2021-01-08;Technology;Copiers;139.72602739726028;
2021-01-08;Technology;Machines;82.1917808219178;
2021-01-08;Technology;Phones;328.7671232876712;
2021-01-09;Furniture;Furnishings;65.75342465753425;
2021-01-09;Furniture;Bookcases;98.63013698630137;
2021-01-09;Furniture;Chairs;164.3835616438356;
2021-01-09;Furniture;Tables;141.36986301369862;
2021-01-09;Office Supplies;Appliances;82.1917808219178;
2021-01-09;Office Supplies;Art;24.65753424657534;
2021-01-09;Office Supplies;Binders;164.3835616438356;274.491
2021-01-09;Office Supplies;Envelopes;3.287671232876712;
2021-01-09;Office Supplies;Fasteners;1.643835616438356;
2021-01-09;Office Supplies;Labels;9.863013698630137;
2021-01-09;Office Supplies;Paper;57.534246575342465;
2021-01-09;Office Supplies;Storage;131.5068493150685;
2021-01-09;Office Supplies;Supplies;32.87671232876713;
2021-01-09;Technology;Accessories;115.06849315068493;
2021-01-09;Technology;Copiers;139.72602739726028;
2021-01-09;Technology;Machines;82.1917808219178;
